Set,ATname,com_name,com_names,protein_sequence,gene_family,gene_fam_size,expression_level,GO_functions
856,AT5G61760,atipk2beta,"atipk2beta,ipk2b,ipk2beta",,,,,
857,AT2G24500,fzf,"fzf,reil2",,,,,
858,AT5G57290,AT5G57290,at5g57290,,,,,
2222,AT1G48620,hon5,hon5,,,,,
1,AT1G13900,pap2,pap2,,,,,
2,AT3G18035,hon4,hon4,,,,,
3,AT3G26400,eif4b1,eif4b1,,,,,
5,AT5G18120,aprl7,"aprl7,ataprl7",,,,,
7,AT2G17440,pirl5,pirl5,,,,,
8,AT4G10390,AT4G10390,at4g10390,,,,,
11,AT4G39050,AT4G39050,at4g39050,,,,,
12,AT3G02800,atpfa-dsp3,"atpfa-dsp3,pfa-dsp3",,,,,
14,AT2G20680,atman2,"atman2,man2",,,,,
15,AT1G53830,atpme2,"atpme2,pme2",,,,,
18,AT2G46260,lrb1,lrb1,,,,,
20,AT1G53290,AT1G53290,at1g53290,,,,,
25,AT2G40410,atcan2,"atcan2,can2",,,,,
33,AT1G73670,atmpk15,"atmpk15,mpk15",,,,,
34,AT2G28960,AT2G28960,at2g28960,,,,,
35,AT4G34220,AT4G34220,at4g34220,,,,,
37,AT3G52450,atpub22,"atpub22,pub22",,,,,
38,AT5G14420,rglg2,rglg2,,,,,
40,AT4G23810,atwrky53,"atwrky53,wrky53",,,,,
41,AT5G45240,AT5G45240,at5g45240,,,,,
42,AT5G59700,AT5G59700,at5g59700,,,,,
43,AT1G78080,atwind1,"atwind1,rap2.4,wind1",,,,,
44,AT1G79670,rfo1,"rfo1,wakl22",,,,,
49,AT4G15410,pux5,pux5,,,,,
50,AT5G55020,atmyb120,"atmyb120,myb120",,,,,
51,AT5G61260,AT5G61260,at5g61260,,,,,
52,AT1G62950,AT1G62950,at1g62950,,,,,
54,AT1G72300,psy1r,psy1r,,,,,
56,AT4G32390,AT4G32390,at4g32390,,,,,
58,AT1G48430,AT1G48430,at1g48430,,,,,
59,AT5G50800,atsweet13,"atsweet13,sweet13",,,,,
61,AT1G59890,snl5,snl5,,,,,
62,AT1G60220,ots1,"ots1,ulp1d",,,,,
70,AT1G54560,atxie,"atxie,xie",,,,,
71,AT1G60610,AT1G60610,at1g60610,,,,,
72,AT1G54160,nfya5,"nfya5,nf-ya5",,,,,
