,Set,MA,MB,ma,mb,ma2,mb2,mutant_name,protein_similarity,gene_family,gene_fam_size,expression_A,expression_B,expression_ratio,GO_A,GO_B,GO_AB
113,750,AT1G55890,AT3G13160,AT1G55890,AT3G13160,at1g55890,at3g13160,AT1G55890/AT3G13160,,,,,,,,,
114,753,AT5G62575,AT3G47833,sdh7,sdh7,"sdh7,sdh7b","sdh7,sdh7a",sdh7a/b,,,,,,,,,
115,754,AT5G61590,AT5G07580,AT5G61590,AT5G07580,at5g61590,at5g07580,AT5G61590/AT5G07580,,,,,,,,,
116,755,AT3G57800,AT2G42300,AT3G57800,AT2G42300,at3g57800,at2g42300,AT3G57800/AT2G42300,,,,,,,,,
117,756,AT3G27560,AT5G40540,atn1,AT5G40540,atn1,at5g40540,atn1/AT5G40540,,,,,,,,,
118,757,AT1G15400,AT1G80180,AT1G15400,AT1G80180,at1g15400,at1g80180,AT1G15400/AT1G80180,,,,,,,,,
119,758,AT2G02970,AT1G14240,apy6,AT1G14240,"apy6,atapy6",at1g14240,apy6/AT1G14240,,,,,,,,,
120,759,AT1G16380,AT1G79400,atchx1,atchx2,"atchx1, cax1, chx1 ","atchx2,chx2",chx1/2,,,,,,,,,
121,761,AT1G17540,AT1G72760,AT1G17540,AT1G72760,at1g17540,at1g72760,AT1G17540/AT1G72760,,,,,,,,,
122,763,AT2G21990,AT4G39610,AT2G21990,AT4G39610,at2g21990,at4g39610,AT2G21990/AT4G39610,,,,,,,,,
123,764,AT1G04600,AT2G33240,atxia,atxid,"atxia,xia","atxid,xid",xia/d,,,,,,,,,
124,765,AT2G15880,AT4G33970,AT2G15880,AT4G33970,at2g15880,at4g33970,AT2G15880/AT4G33970,,,,,,,,,
125,766,AT1G54020,AT3G14210,AT1G54020,esm1,at1g54020,esm1,AT1G54020/esm1,,,,,,,,,
126,767,AT5G57440,AT4G25840,gpp2,gpp1,"gpp2,gs1",gpp1,gpp2/gpp1,,,,,,,,,
127,768,AT1G26650,AT1G69430,AT1G26650,AT1G69430,at1g26650,at1g69430,AT1G26650/AT1G69430,,,,,,,,,
128,769,AT4G02880,AT1G03290,AT4G02880,AT1G03290,at4g02880,at1g03290,AT4G02880/AT1G03290,,,,,,,,,
129,770,AT1G20540,AT1G76260,AT1G20540,dwa2,at1g20540,dwa2,AT1G20540/dwa2,,,,,,,,,
130,771,AT1G21380,AT1G76970,AT1G21380,AT1G76970,at1g21380,at1g76970,AT1G21380/AT1G76970,,,,,,,,,
131,772,AT4G31360,AT2G24440,AT4G31360,AT2G24440,at4g31360,at2g24440,AT4G31360/AT2G24440,,,,,,,,,
132,773,AT1G07750,AT2G28680,AT1G07750,AT2G28680,at1g07750,at2g28680,AT1G07750/AT2G28680,,,,,,,,,
133,774,AT3G05010,AT5G27210,cand2,cand8,cand2,cand8,cand2/c8,,,,,,,,,
134,775,AT5G16540,AT3G02830,zfn3,pnt1,zfn3,"pnt1,zfn1",zfn3/1,,,,,,,,,
135,776,AT2G20230,AT4G28770,AT2G20230,AT4G28770,at2g20230,at4g28770,AT2G20230/AT4G28770,,,,,,,,,
136,777,AT1G51590,AT3G21160,manib,mania,"manib,mns1","mania,mns2",manib/a,,,,,,,,,
137,778,AT1G78920,AT1G16780,atvhp2,atvhp2,"atvhp2;1,avp2,avpl1,vhp2;1,vp2","atvhp2;2,vhp2;2",vhp2-1/vhp2-2,,,,,,,,,
138,779,AT5G07620,AT5G61570,AT5G07620,AT5G61570,at5g07620,at5g61570,AT5G07620/AT5G61570,,,,,,,,,
139,780,AT5G16800,AT3G02980,AT5G16800,mcc1,at5g16800,mcc1,AT5G16800/mcc1,,,,,,,,,
140,781,AT3G19290,AT1G49720,abf4,abf1,"abf4,areb2","abf1,atabf1",abf4/1,,,,,,,,,
141,782,AT1G61240,AT1G11170,AT1G61240,AT1G11170,at1g61240,at1g11170,AT1G61240/AT1G11170,,,,,,,,,
142,783,AT3G07540,AT5G48360,AT3G07540,AT5G48360,at3g07540,at5g48360,AT3G07540/AT5G48360,,,,,,,,,
143,784,AT1G80440,AT1G15670,kfb20,kfb01,"kfb20,kmd1","kfb01,kmd2",kmd1/2,,,,,,,,,
144,785,AT1G25270,AT1G68170,AT1G25270,umamit23,at1g25270,umamit23,AT1G25270/umamit23,,,,,,,,,
145,786,AT1G23560,AT1G70480,AT1G23560,AT1G70480,at1g23560,at1g70480,AT1G23560/AT1G70480,,,,,,,,,
146,787,AT1G03440,AT4G03010,AT1G03440,AT4G03010,at1g03440,at4g03010,AT1G03440/AT4G03010,,,,,,,,,
147,788,AT1G74430,AT1G18710,atmyb95,atmyb47,"atmyb95,atmybcp66,myb95","atmyb47,myb47",myb95/47,,,,,,,,,
148,789,AT1G10560,AT1G60190,atpub18,atpub19,"atpub18,pub18","atpub19,pub19",pub18/19,,,,,,,,,
149,790,AT1G05100,AT2G32510,mapkkk18,mapkkk17,mapkkk18,mapkkk17,mapkkk18/17,,,,,,,,,
150,791,AT1G07180,AT2G29990,atndi1,nda2,"atndi1,nda1",nda2,ndi1/2,,,,,,,,,
151,792,AT1G72740,AT1G17520,AT1G72740,AT1G17520,at1g72740,at1g17520,AT1G72740/AT1G17520,,,,,,,,,
152,793,AT1G17460,AT1G72650,trfl3,trfl6,trfl3,trfl6,trfl3/6,,,,,,,,,
153,794,AT1G49910,AT3G19590,bub3.2,bub3.1,bub3.2,bub3.1,bub3.2/.1,,,,,,,,,
154,795,AT1G56690,AT1G09410,AT1G56690,AT1G09410,at1g56690,at1g09410,AT1G56690/AT1G09410,,,,,,,,,
155,796,AT2G45920,AT3G61390,AT2G45920,AT3G61390,at2g45920,at3g61390,AT2G45920/AT3G61390,,,,,,,,,
